Table 1
Course,Core Idea,Topic Code,Topic Name,
Calculus I,Limits,Lim1,Motivating the need for calculus & limits,
Calculus I,Limits,Lim2,Introducing the limit concept,
Calculus I,Limits,Lim3,Determining limits (graphically and numerically),
Calculus I,Limits,Lim4,Determining limits (using limit laws),
Calculus I,Limits,Lim5,Epsilon-delta definition of the limit,
Calculus I,Limits,Lim6,Limits at infinity and infinite limits,
Calculus I,Continuity,Cont1,"Continuity, discontinuities, and the intermediate value theorem",
Calculus I,Derivatives,Der1,Motivating the need for the derivative and introducing the derivative concept,
Calculus I,Derivatives,Der2,Defining the derivative as a function,
Calculus I,Derivatives,Der3,Basic differentiation rules,
Calculus I,Derivatives,Der4,Product and quotient rules,
Calculus I,Derivatives,Der5,Trigonometric derivatives,
Calculus I,Derivatives,Der6,Derivatives of logarithmic and exponential functions,
Calculus I,Derivatives,Der7,The chain rule,
Calculus I,Derivatives,Der8,Implicit differentiation,
Calculus I,Derivatives,Der9,Applications of derivatives: rates of change & exponential models,
Calculus I,Derivatives,Der10,Related rates,
Calculus I,Derivatives,Der11,Linear approximations,
Calculus I,Derivatives,Der12,Extreme values,
Calculus I,Derivatives,Der13,The mean value theorem,
Calculus I,Derivatives,Der14,The shape of graphs (concavity).,
Calculus I,Derivatives,Der15,Sketching/graphing functions using information from derivatives,
Calculus I,Derivatives,Der16,L'Hôpital's rule (using derivatives to evaluate limits of indeterminate form),
Calculus I,Derivatives,Der17,Optimization,
Calculus I,Derivatives,Der18,Newton’s method,
Calculus I,Integrals,Int1,Antiderivatives (the reverse process of differentiation),
Calculus I,Integrals,Int2,Motivating the need for integrals and approximating the area under curves,
Calculus I,Integrals,Int3,Definite integrals,
Calculus I,Integrals,Int4,The fundamental theorem of calculus (FTC),
Calculus I,Integrals,Int5,Indefinite integrals and the net change theorem,
Calculus I,Integrals,Int6,Integrals of exponential and logarithmic functions,
Calculus I,Integrals,Int7,"Integration with the substitution rule


",
Calculus I,Integrals,Int8,"Using integrals to find the area between two curves
",
Calculus I,Integrals,Int9,Using integrals to find the volume of solids of revolution,
Calculus I,Integrals,Int10,"Using integrals for physical applications (work, force, density, mass, etc.)
",
Calculus I,Integrals,Int11,"Using integrals to find arc length and surface area
",
Calculus I,Integrals,Int12,Hyperbolic functions (derivatives and integrals),
Calculus I,Integrals,Int13,Integrals involving inverse trigonometric functions,
Calculus II,Advanced Integration,AdvInt1,Integration by parts,
Calculus II,Advanced Integration,AdvInt2,Trigonometric integrals,
Calculus II,Advanced Integration,AdvInt3,Trigonometric substitutions,
Calculus II,Advanced Integration,AdvInt4,Integration using the method of partial fractions,
Calculus II,Advanced Integration,AdvInt5,General integration strategies/approaches,
Calculus II,Advanced Integration,AdvInt6,"Integration using tables, technology, and numerical approaches",
Calculus II,Advanced Integration,AdvInt7,Improper integrals,
Calculus II,Advanced Integration,AdvInt8,Application to probability,
Calculus II,Advanced Integration,AdvInt9,Application to physics,
Calculus II,Advanced Integration,AdvInt10,Application to economics,
Calculus II,Differential Equations,DiffEq1,Introducing the concept of differential equations,
Calculus II,Differential Equations,DiffEq2,Direction fields and Euler's method,
Calculus II,Differential Equations,DiffEq3,Separable differential equations,
Calculus II,Differential Equations,DiffEq4,Modeling with differential equations,
Calculus II,Differential Equations,DiffEq5,Special first-order linear differential equations,
Calculus II,Sequences and Series,SeqSer1,Sequences,
Calculus II,Sequences and Series,SeqSer2,Series,
Calculus II,Sequences and Series,SeqSer3,Convergence and divergence,
Calculus II,Sequences and Series,SeqSer4,Comparison tests,
Calculus II,Sequences and Series,SeqSer5,The ratio and root tests,
Calculus II,Sequences and Series,SeqSer6,Alternating series,
Calculus II,Sequences and Series,SeqSer7,Taylor series,
Calculus II,Sequences and Series,SeqSer8,Power series and functions ,
Calculus II,Parametric Equations and Polar Coordinates,ParamPol1,Parametric equations,
Calculus II,Parametric Equations and Polar Coordinates,ParamPol2,Polar coordinates,
Calculus II,Parametric Equations and Polar Coordinates,ParamPol3,Area and arc length in polar coordinates,
Calculus II,Parametric Equations and Polar Coordinates,ParamPol4,Conic sections,
