Course,Core Idea,Topic Code,Topic Name,Stewart 9th,Active Calculus,OpenStax,Rogawski,Briggs
Calculus I,Limits and Continuity,Lim1,Introduction to calculus and limits,n/a,n/a,2.1 A Preview of Calculus,"2.1 Limits, rates of change, and tangent lines",2.1 The Idea of Limits
Calculus I,Limits and Continuity,Lim2,The limit concept,n/a,1.2 The notion of the limit,2.2 The Limit of a Function,n/a,2.2 Definition of Limits
Calculus I,Limits and Continuity,Lim3,Graphical and numerical limits,2.2 The Limit of a Function,"1.7 Limits, continuity, and differentiability",n/a,2.2 Limits: a numerical and graphical approach,n/a
Calculus I,Limits and Continuity,Lim4,Limit laws,2.3 Calculating Limits Using the Limit Laws,n/a,2.3 The Limit Laws,"2.3 Basic limit laws
2.5 Evaluating limits algebraically
2.6 Trigonometric limits",2.3 Techniques for Computing Limits
Calculus I,Limits and Continuity,Lim5,Epsilon-delta definition of the limit,2.4 The Precise Definition of a Limit,n/a,2.5 The Precise Definition of a Limit,2.9 The formal definition of a limit,2.7 Precise Definition of Limits
Calculus I,Limits and Continuity,Lim6,Limits at infinity and infinite limits,2.6 Limits at Infinity; Horizontal Asymptotes,n/a,4.6 Limits at Infinity and Asymptotes,2.7 Limits at infinity,"2.4 Infinite Limits
2.5 Limits at Infinity"
Calculus I,Limits and Continuity,Lim7,Continuity and the intermediate value theorem,2.5 Continuity,"1.7 Limits, continuity, and differentiability",2.4 Continuity,"2.4 Limits and continuity
2.8 Intermediate value theorem",2.6 Continuity
Calculus I,Derivatives,Der1,Introduction to derivatives,"2.1 The Tangent and Velocity Problems
2.7 Derivatives and Rates of Change ","1.1 How do we measure velocity?
1.3 The derivative of a function at a point","2.1 A Preview of Calculus
3.1 Defining the Derivative","2.1 Limits, rates of change, and tangent lines
3.1 Definition of the derivative","2.1 The Idea of Limits
3.1 Introducing the derivative"
Calculus I,Derivatives,Der2,Derivatives as functions,2.8 The Derivative as a Function,"1.4 The derivative function
1.5 Interpreting, estimating, and using the derivative
1.7 Limits, continuity, and differentiability",3.2 The Derivative as a Function,"3.2 The derivative as a function 
3.5 Higher derivatives",3.2 The derivative as a function
Calculus I,Derivatives,Der3,Basic differentiation rules,3.1 Derivatives of polynomials and exponential functions,2.1 Elementary derivative rules,3.3 Differentiation Rules,n/a,3.3 Rules of differentiation
Calculus I,Derivatives,Der4,The product and quotient rules,3.2 The product and quotient rules,2.3 The product and quotient rules,n/a,3.3 Product and quotient rules,3.4 The product and quotient rules
Calculus I,Derivatives,Der5,Trigonometric derivatives,3.3 Derivatives of trigonometric functions,"2.2 The sine and cosine functions
2.4 Derivatives of other trigonometric functions",3.5 Derivatives of Trigonometric Functions,3.6 Trigonometric functions,3.5 Derivatives of trigonometric functions
Calculus I,Derivatives,Der6,Logarithmic and exponential derivatives,3.6 Derivatives of logarithmic and inverse trigonometric functions,2.6 Derivatives of inverse functions,"3.7 Derivatives of Inverse Functions
3.9 Derivatives of Exponential and Logarithmic Functions","7.1 Derivative of f(x) = b&x and the number e
7.2 Inverse functions
7.3 Logarithms and their derivatives","3.9 Derivatives of logarithmic and exponential functions
3.10 Derivatives of inverse trigonometric functions
7.1 Logarithmic and Exponential Functions Revisited"
Calculus I,Derivatives,Der7,The chain rule,3.4 The chain rule,2.5 The chain rule,3.6 The Chain Rule,3.7 The chain rule,3.7 The chain rule
Calculus I,Derivatives,Der8,Implicit differentiation,3.5 Implicit differentiation,2.7 Derivatives of functions given implicitly,3.8 Implicit Differentiation,3.8 Implicit differentiation,3.8 Implicit differentiation
Calculus I,Derivatives,Der9,Rates of change and exponential models,"3.7 Rates of change in the natural and social sciences
3.8 Exponential growth and decay",n/a,"3.4 Derivatives as Rates of Change
6.8 Exponential Growth and Decay","3.4 Rates of change
7.4 Exponential growth and decay
7.6 Models involving y' = k(y-b)","3.6 Derivatives as rates of change
7.2 Exponential Models"
Calculus I,Derivatives,Der10,Related rates,3.9 Related rates,3.5 Related rates,4.1 Related Rates,3.9 Related rates,3.11 Related rates
