Calculus topic,Fluids Topic,Rationale,,,,
Introduction to calculus and limits,Fluid properties and definitions,A fluid particle is the infinitesmal limit of small cube of fluid. Properties (e.g. density pressure internal energy) are all limits of ratios in the limt.,,,,
The limit concept,Fluid properties and definitions,A fluid particle is the infinitesmal limit of small cube of fluid. Properties (e.g. density pressure internal energy) are all limits of ratios in the limt.,,,,
Introduction to derivatives,Fluid properties and definitions,The coefficient of compressibility and volume expansivity are fudamental quantities defined as derivtives using limits.,,,,
Linear approximations,Fluid properties and definitions, The coefficient of compressibility and volume expansivity are fudamental quantities defined as derivtives using limits.,,,,
Graphing with derivatives,Fluid properties and definitions,Surface tension forces depend on the contact angle  between the tangents to the liquid and solid surfaces.,,,,
Introduction to derivatives,Newtonian fluids,"Newtonian fluids are those that exhibit a linear relationship between  shear stress, viscosity, and shear rate, which is the spatial  derivative of shear.",,,,
Definite integrals,Newtonian fluids,The force a fluid exerts on a surface is the integral of the pressure over the surface.,,,,
Graphing with derivatives,Newtonian fluids,Computing the resultant forces on submerged (flat or curved) plates due to pressure forces requires calculating normals to the surfaces.,,,,
Physical applications of integrals,Newtonian fluids,"Modelling problems in calculus courses treat these sorts of problems, including the subtelty that the shape of the contianer does not matter for the pressure calculation (except for very small diameter tubes, where surface tension and the capillary effect become important).""",,,,
Area and arc length in polar coordinates,Viscous effects," A viscous fluid has zero velocity where it touches a physical boundary. In a cylindrical pipe or radius R, the fluid velocity at radius r is modeled as a constant times (R^2-r^2).The viscous forces acting on a (control volume within a) pipe are estimated as the crosss ectional area times the pressure difference at the ends.",,,,
The fundamental theorem of calculus,Fluid statics/hydrostatics,The fundamental theorem of calculus and Newtons second law are applied to a static fluid to calculate pressure as a function of depth (P = rho*g*z). Combining this with the fact that force on a surface is the integral of the pressure over the surface yields the basis for using  barometers and manometers.,,,,
Trigonometric derivatives,Fluid kinematics,Computing gage pressure in an accelerated fluid utilizes modelling and trig/inverse trig relations in related rate problems.,,,,
Related rates,Fluid kinematics,Computing gage pressure in an accelerated fluid utilizes  modelling and trig/inverse trig relations in related rate problems.,,,,
The chain rule,Fluid kinematics,"The material derivative, which relates the eulerian and lagrangian descriptions of fluid flow, is calculated using  the  chain rule for partial derivatives.",,,,
The chain rule,Fluid kinematics,"Streamlines are  curves tangent to the velcity field. In 2D, we compute them by solving an ODE which is separable in many examples. The chain rule converts the time derivatives of the flow field to the spatial derivatives in the ODE.",,,,
Introduction to differential equations,Fluid kinematics,"Streamlines are  curves tangent to the velcity field. In 2D, we compute them by solving an ODE which is separable in many examples. The chain rule converts the time derivatives of the flow field to the spatial derivatives in the ODE.",,,,
Separable differential equations,Fluid kinematics,"Streamlines are  curves tangent to the velcity field. In 2D, we compute them by solving an ODE which is separable in many examples. The chain rule converts the time derivatives of the flow field to the spatial derivatives in the ODE.",,,,
Modeling with differential equations,Fluid kinematics,"Streamlines are  curves tangent to the velcity field. In 2D, we compute them by solving an ODE which is separable in many examples. The chain rule converts the time derivatives of the flow field to the spatial derivatives in the ODE.",,,,
Modeling with differential equations,Fluid kinematics," A pathline, the path of fluid particle, solves a system of ODE's: dx/dt= u(x,y); dy/dt =v(x,y).",,,,
Rates of change and exponential models,Fluid kinematics,The rate of translation is a time derivative of of the path of the particle.,,,,
Rates of change and exponential models,Fluid kinematics,The rate of rotation of a fluid particle is the angular velocity vector.,,,,
Rates of change and exponential models,Fluid kinematics,"Vorticity, the  curl of velocity field, is computed in cartesian and cylindrical coordinates for simple flow fields.",,,,
Polar coordinates,Fluid kinematics,"Vorticity, the  curl of velocity field, is computed in cartesian and cylindrical coordinates for simple flow fields.",,,,
Introduction to derivatives,Fluid kinematics,"The linear Strain Rate, the shear strain rate, and the volumetric strain rate  are all defined, using limiting arguments, as derivatives of functions of displacement.",,,,
Polar coordinates,Differential analysis,"Differential analysis means deriving and using the partial differential equations of Computational Fluid Dynamics, i.e the continuity equation (conservation of mass)  and the Navier Stokes system (conservation of momentum). Special geometries allow some examples that do not require advanced vector calculus or partial diffential equations, relying on only 1D calculus and frequently, cylindrical coordinates.",,,,
Integration by parts,Differential analysis,"Analyzing mass conservation in a shrinking control volume, and making use of the divergence theorem derives the continuity equation relating the time rate of change of density to the divergence of the flow field. The continuity equation, paired with the navier stokes equations, are the basis for Computational Fluid Dyanmics. Choosing the control volume to be a shrinking cube allows the derivation to utilize the fundamental theorem of calculus and integration by parts rather than the more advanced divergence theorem.",,,,
Graphical and numerical limits,Differential analysis,"Analyzing mass conservation in a shrinking control volume, and making use of the divergence theorem derives the continuity equation relating the time rate of change of density to the divergence of the flow field. The continuity equation, paired with the navier stokes equations, are the basis for Computational Fluid Dyanmics. Choosing the control volume to be a shrinking cube allows the derivation to utilize the fundamental theorem of calculus and integration by parts rather than the more advanced divergence theorem.",,,,
Introduction to derivatives,Navier-Stokes equations,"These are the central equations of Computational Fluid Dyanmics, derived from conservation of momentum in a shrinking control volume.",,,,
Integration by parts,Navier-Stokes equations,"These are the central equations of Computational Fluid Dyanmics, derived from conservation of momentum in a shrinking control volume. Choosing the control volume to be a shrinking cube allows the derivation to utilize the fundamental theorem of calculus and integration by parts rather than the more advanced divergence theorem.",,,,
Area and arc length in polar coordinates,Navier-Stokes equations,"These are the central equations of Computational Fluid Dyanmics, derived from conservation of momentum in a shrinking control volume. Choosing the control volume to be a shrinking cube allows the derivation to utilize the fundamental theorem of calculus and integration by parts rather than the more advanced divergence theorem. Based on geometry, they may need to be written in cartesian or cylindrical coordinates,",,,,
Graphing with derivatives,Inviscid flow,The stream function is used to describe two dimensional incompressible inviscid flow. It's partial derivatives are perpendicular to the flow velocity field.,,,,
Antiderivatives,Inviscid flow,The stream function is used to describe two dimensional incompressible inviscid flow. It's partial derivatives are perpendicular to the flow velocity field. Finding the stream function involves integrating partial derivatives. In some rectangular and cylindrical geometries only 1D methods of integration are required.,,,,
Introduction to derivatives,Control volume analysis,"A control volume is a region, with physical or imagined boundaries, through which fluid flows (e.g. the bottom half of a cylindrical tank with a hole at the bottom (outlet)). Applying conservation laws to shrinking control volumes yields results about the properties of the flow.",,,,
Definite integrals,Control volume analysis,"A control volume is a region, with physical or imagined boundaries, through which fluid flows (e.g. the bottom half of a cylindrical tank with a hole at the bottom (outlet)). Applying conservation laws to shrinking control volumes yields results about the properties of the flow. The application of these laws involve derivatives and flux integrals (typically over simple inlet and outlet regions in undergraduate courses).",,,,
Area and arc length in polar coordinates,Control volume analysis,"A control volume is a region, with physical or imagined boundaries, through which fluid flows (e.g. the bottom half of a cylindrical tank with a hole at the bottom (outlet)). Applying conservation laws to shrinking control volumes yields results about the properties of the flow. The application of these laws involve derivatives and flux integrals (typically over simple inlet and outlet regions in undergraduate courses).",,,,
Physical applications of integrals,Conservation of Mass,"The Reynolds Transport Theorem, which links Lagrangian system descriptions to Eulerian control volume analyses by relating the time rate of change of an extensive property (e.g mass, momentum, energy) to the net flux across control surfaces and changes within a control volume. These will become the conservation laws that are the workhorses of engineering fluid dynamics calculations.",,,,
Polar coordinates,Conservation of Mass,"They are frequently applied in special geometries that require only  one dimensional integrals and derivatives, many  in polar coordinates.",,,,
Introduction to derivatives,Conservation of Mass, Mass flow rate and volume flow rate are time derivatives of the total mass/volume in a control volume (a control volume is a fixed or moving region within the flow).,,,,
Introduction to integrals and area approximation,Conservation of Mass," Mass flow rate and volume flow rate are time derivatives of the total mass/volume in a control volume (a control volume is a fixed or moving region within the flow). The total mass is the integral of a density over a volume or, in two dimension an area.",,,,
Introduction to integrals and area approximation,Conservation of Mass,Surface integrals are approximated  by averaging flows over inlets and outlets. These approximations are  Riemann sums with one term.,,,,
Physical applications of integrals,Conservation of Mass,"The viscous velocity profile for a circular inlet or outlet from  a control volume is typicaly circular, with a simple dependence on the radius, e.g. (R^2-r^2),. This  results in a simple integral in polar coordinates to calculate flux.",,,,
Definite integrals,Conservation of Momentum,"Conservation of momentum is a vector conservation law expressing the (material) time derivative of total linear momentum in the control volume as the time derivative of a volume integral plus  surfaces integrals of fluxes. For control volumes with simple inlets and outlets these surface integrals reduce to simple one dimensional integrals,frequently in polar coordinates, that are treated in calculus.",,,,
Area and arc length in polar coordinates,Conservation of Momentum,"Conservation of momentum is a vector conservation law expressing the (material) time derivative of total linear momentum in the control volume as the time derivative of a volume integral plus  surfaces integrals of fluxes. For control volumes with simple inlets and outlets these surface integrals reduce to simple one dimensional integrals,frequently in polar coordinates, that are treated in calculus.",,,,
